folder,model,param,run,solver,policy,SolverTotalTime,TabulationTime,SavileRowClauseOut,SolverSolveTime,SavileRowTotalTime,SolverSatisfiable,SavileRowTimeOut,SolverNodes,SolverTimeOut,SolverSolutionsFound,SolverSetupTime,SolverMemOut,SATClauses,SATVars,SolverFailures
nlink-4,nlink-opt-4,opt.12,1,ortools,notab,0.243,,0,,0.213,1,0,,0,,,,,,1875
nlink-4,nlink-opt-4,opt.12,2,gecode,tabnolim,0.22,0.076,0,,0.437,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.15,1,ortools,notab,0.406,,0,,0.222,1,0,,0,,,,,,3513
nlink-4,nlink-opt-4,opt.12,1,gecode,notab,0.384,,0,,0.14,1,0,44094,0,,,,,,22040
nlink-4,nlink-opt-4,opt.15,1,minion,notab,1.17059,,0,1.16837,0.302,1,0,201743,0,7,0.000497,,,,
nlink-4,nlink-opt-4,opt.12,5,kissat,tab,0.35,0.101,0,,2.02,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.12,1,chuffed,tabnolim,0.160,0.082,0,,0.521,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,3,gecode,notab,1.226,,0,,0.335,1,0,236304,0,,,,,,118143
nlink-4,nlink-opt-4,opt.12,5,gecode,tabnolim,0.23,0.67,0,,2.48,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.15,3,ortools,tab,18.364,0.207,0,,3.408,1,0,,0,,,,,,94
nlink-4,nlink-opt-4,opt.12,5,ortools,tabnolim,2.276,0.212,0,,0.852,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.15,2,chuffed,tabnolim,1.143,0.399,0,,1.492,1,0,253,0,,,,,,192
nlink-4,nlink-opt-4,opt.15,4,chuffed,tab,3.218,0.102,0,,3.68,1,0,945,0,,,,,,843
nlink-4,nlink-opt-4,opt.15,5,minion,notab,0.995461,,0,0.995202,0.192,1,0,201743,0,7,0.00011,,,,
nlink-4,nlink-opt-4,opt.15,5,gecode,tabnolim,0.466,0.269,0,,1.927,1,0,617,0,,,,,,296
nlink-4,nlink-opt-4,opt.12,1,ortools,tabnolim,2.199,0.084,0,,0.586,1,0,,0,,,,,,32
nlink-4,nlink-opt-4,opt.15,3,chuffed,notab,1.093,,0,,0.223,1,0,9593,0,,,,,,9290
nlink-4,nlink-opt-4,opt.12,1,chuffed,notab,0.088,,0,,0.334,1,0,1614,0,,,,,,1497
nlink-4,nlink-opt-4,opt.15,4,kissat,tab,2.4200000000000004,0.065,0,,1.298,1,0,201696.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.12,3,gecode,tabnolim,0.209,0.06,0,,0.567,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.12,4,gecode,tab,0.193,0.098,0,,0.733,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.12,2,chuffed,tabnolim,0.151,0.121,0,,0.732,1,0,69,0,,,,,,31
nlink-4,nlink-opt-4,opt.15,3,kissmdd,tab,1.72,0.053,0,,1.158,1,0,94804.0,0,,,0,158666,26681,
nlink-4,nlink-opt-4,opt.15,4,kissmdd,tabnolim,0.53,0.372,0,,6.249,1,0,4366.0,0,,,0,985906,1785,
nlink-4,nlink-opt-4,opt.12,4,minion,tab,0.154712,0.1,0,0.003136,0.651,1,0,67,0,6,0.01167,,,,
nlink-4,nlink-opt-4,opt.12,3,chuffed,notab,0.072,,0,,0.248,1,0,1614,0,,,,,,1497
nlink-4,nlink-opt-4,opt.12,2,kissat,notab,0.07,,0,,0.649,1,0,9676.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.15,1,ortools,tabnolim,8.184,0.293,0,,1.297,1,0,,0,,,,,,103
nlink-4,nlink-opt-4,opt.12,2,kissmdd,notab,0.05,,0,,0.451,1,0,9676.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.15,2,minion,tab,0.260748,0.559,0,0.239977,1.063,1,0,9242,0,7,0.002074,,,,
nlink-4,nlink-opt-4,opt.12,3,kissat,notab,0.08,,0,,0.74,1,0,9615.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.12,5,kissmdd,tab,0.15000000000000002,0.045,0,,1.032,1,0,2012.0,0,,,0,319678,1098,
nlink-4,nlink-opt-4,opt.12,5,chuffed,notab,0.086,,0,,0.37,1,0,1614,0,,,,,,1497
nlink-4,nlink-opt-4,opt.15,4,gecode,notab,1.164,,0,,0.451,1,0,236304,0,,,,,,118143
nlink-4,nlink-opt-4,opt.12,1,kissat,tabnolim,0.36,0.073,0,,1.093,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.15,5,minion,tab,0.224612,0.047,0,0.206954,0.26,1,0,9242,0,7,0.001689,,,,
nlink-4,nlink-opt-4,opt.12,5,minion,tabnolim,0.129814,0.135,0,0.002293,0.475,1,0,67,0,6,0.009973,,,,
nlink-4,nlink-opt-4,opt.12,4,kissat,tabnolim,0.39,0.161,0,,2.605,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.12,2,kissat,tab,0.37,0.071,0,,1.154,1,0,1082.0,0,,,0,642640,128556,
nlink-4,nlink-opt-4,opt.12,5,minion,notab,0.15537,,0,0.154223,0.191,1,0,34079,0,6,0.00038,,,,
nlink-4,nlink-opt-4,opt.15,2,gecode,notab,1.01,,0,,0.205,1,0,236304,0,,,,,,118143
nlink-4,nlink-opt-4,opt.15,4,chuffed,tabnolim,2.034,0.223,0,,1.083,1,0,253,0,,,,,,192
nlink-4,nlink-opt-4,opt.12,1,kissmdd,notab,0.07,,0,,1.676,1,0,9179.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.12,1,gecode,tab,0.133,0.057,0,,0.517,1,0,110,0,,,,,,47
nlink-4,nlink-opt-4,opt.15,5,kissmdd,tabnolim,0.45999999999999996,0.166,0,,1.742,1,0,4264.0,0,,,0,985906,1785,
nlink-4,nlink-opt-4,opt.15,3,chuffed,tabnolim,1.227,0.197,0,,0.823,1,0,253,0,,,,,,192
nlink-4,nlink-opt-4,opt.12,2,gecode,notab,1.168,,0,,0.662,1,0,44094,0,,,,,,22040
nlink-4,nlink-opt-4,opt.12,5,kissat,notab,0.07,,0,,0.468,1,0,10180.0,0,,,0,6138,989,
nlink-4,nlink-opt-4,opt.12,4,ortools,tab,2.556,0.07,0,,0.557,1,0,,0,,,,,,32
